Song,Artist,Streams,Daily Streams,Genre,Release Year,Peak Position,Weeks on Chart,Lyrics Sentiment,TikTok Virality,Danceability,Acousticness,Energy
Track 5450,Celestial Harmony,177738140,3556054,Latin,2022,35,94,-0.76,95,0.1,0.21,0.16
Track 44771,Horizon Flow,356375710,3599750,House,2004,3,12,-0.9,82,0.67,0.13,0.99
Track 90389,Samantha Lee,332990318,1286847,R&B,2014,28,70,-0.92,23,0.6,0.95,0.97
Track 13420,Crimson Echo,211922069,3679474,R&B,2005,58,1,-0.35,62,0.51,0.18,0.75
Track 48397,Samantha Lee,230219046,3244927,Punk,1992,53,30,-0.98,3,0.47,0.86,0.79
Track 68864,Horizon Flow,376958534,1997645,Folk,2025,99,92,-0.49,43,0.73,0.57,0.31
Track 36303,Crimson Echo,648479064,2709122,Latin,2000,28,66,0.67,6,0.58,0.7,0.67
Track 73248,Retro Resonance,243492389,3257398,Electronic,1990,58,27,0.99,60,0.14,0.9,0.85
Track 22327,Crimson Echo,204976524,3405881,Techno,2002,84,26,-0.7,80,0.78,0.04,0.18
Track 59736,Liam Harper,138326554,4074375,R&B,2018,99,41,0.02,27,0.35,0.78,0.94
Track 99256,Bass Surge,8513784,3972847,Trap,2016,85,20,0.98,97,0.75,0.26,0.27
Track 45495,Luna Nova,686277551,4735078,Metal,2007,61,26,0.41,0,0.34,0.33,0.99
Track 10943,Crimson Echo,657667540,3330196,Pop,2011,62,68,0.05,86,0.63,0.72,0.67
Track 39244,Liam Harper,279253336,4541269,Country,2013,38,7,-0.31,71,0.3,0.0,0.14
Track 24285,Crimson Echo,113926807,253606,Pop,1998,8,37,-0.4,80,0.6,0.06,0.65
Track 81806,Luna Nova,661543993,2781032,Trap,2023,22,98,0.75,62,0.86,0.73,0.72
Track 59380,Luna Nova,126810115,1079489,R&B,1999,46,33,-0.69,10,0.4,0.72,0.61
Track 69784,Urban Rhapsody,122190138,104508,Electronic,2020,38,88,0.24,89,0.65,0.04,0.99
Track 33784,Luna Nova,602793687,1456343,Synthwave,2025,97,68,0.14,27,0.43,0.45,0.7
Track 64694,Aurora Soundwave,365226201,602959,Pop,1994,92,12,0.54,64,0.82,0.22,0.38
Track 35134,Ava & The Ocean,16756541,1615448,Indie,2009,63,48,0.04,44,0.71,0.85,0.85
Track 98495,Firefly Symphony,7678424,3690389,Punk,1999,44,43,-0.26,28,0.36,0.86,0.45
Track 72411,Celestial Harmony,314176689,3652419,Hip-Hop,2000,51,24,-0.49,74,0.67,0.78,0.36
Track 38372,The Midnight Howl,406289346,1914094,Jazz,2001,90,69,-0.7,79,0.5,0.32,0.92
Track 86770,Horizon Flow,179864510,1130058,Country,2018,13,71,0.44,2,0.91,0.58,0.4
Track 50933,The Midnight Howl,152657535,4743221,Pop,2022,45,96,0.39,52,0.45,0.44,0.22
Track 3702,EchoSync,429638316,4882874,Hip-Hop,2000,18,61,0.53,19,0.55,0.62,0.44
Track 16238,Bass Surge,524554211,978831,Trap,2011,75,27,0.96,14,0.82,0.27,0.38
Track 80194,Aurora Soundwave,258658061,58185,Jazz,2010,30,62,0.48,15,0.33,0.78,0.34
Track 29496,Samantha Lee,358607540,3850135,Punk,2023,42,15,-0.64,26,0.88,0.62,0.63
Track 93475,Urban Rhapsody,684330972,4891738,Reggae,2019,29,35,-0.5,77,0.39,0.37,0.59
Track 47051,Celestial Harmony,35485439,1349187,Folk,2013,14,71,-0.5,34,0.64,0.96,0.38
Track 46890,Firefly Symphony,585898951,1484851,Pop,2020,66,65,0.06,81,0.23,0.86,0.99
Track 46835,Ava & The Ocean,446817121,1386515,Rock,2016,79,98,0.08,8,0.49,0.72,0.45
Track 89769,DJ Thunder,362343903,4831155,Hip-Hop,2007,58,17,0.7,49,0.93,0.84,0.68
Track 40077,EchoSync,569353789,2227529,EDM,1996,58,50,0.51,19,0.11,0.87,0.34
Track 6346,Horizon Flow,611855683,4565782,R&B,2018,74,95,-0.74,88,0.17,0.8,0.65
Track 13986,Neon Vortex,224613803,2550541,Country,1997,92,76,0.49,2,0.29,0.82,0.53
Track 73784,Sofia Carter,283193582,4757448,R&B,2019,44,90,-0.72,54,0.87,0.81,0.25
Track 33793,Retro Resonance,160348891,4470832,Blues,1997,67,42,0.71,17,0.14,0.27,0.15
Track 85628,Liam Harper,484067395,4501967,Jazz,2021,48,60,0.9,63,0.39,0.3,0.97
Track 16487,Crimson Echo,44175764,3928571,Latin,1999,10,6,-0.52,88,0.49,0.29,0.29
Track 17060,EchoSync,146265806,1601558,EDM,2001,35,64,-0.71,0,0.84,0.64,0.16
Track 5873,Firefly Symphony,786918525,2098283,Punk,1994,84,80,-0.57,97,0.88,0.63,0.31
Track 81557,Retro Resonance,106408708,1590335,Lo-Fi,1990,99,88,-0.04,2,0.81,0.29,0.56
Track 83734,Jay Zenith,483437472,2989251,Pop,2000,77,82,0.37,72,0.54,0.45,0.96
Track 14456,EchoSync,588927439,86069,R&B,2020,89,101,0.93,2,0.26,0.25,0.64
Track 21164,Samantha Lee,256266977,2925327,EDM,1993,40,13,0.42,77,0.27,0.5,0.72
Track 39820,Retro Resonance,798420900,959166,Rock,2018,48,75,0.62,98,0.97,0.57,0.97
Track 34687,Neon Vortex,688088746,3360107,Folk,1995,16,41,-0.16,64,0.16,0.02,0.64
Track 90927,Liam Harper,643932977,1438031,Drum & Bass,1995,5,88,0.97,22,0.6,0.97,0.56
Track 92836,Samantha Lee,460782771,2368853,Lo-Fi,2012,72,11,0.93,8,0.85,0.25,0.15
Track 62773,Ava & The Ocean,186451606,1881250,Hip-Hop,2010,97,100,0.97,36,0.38,0.18,0.13
Track 87383,Crimson Echo,674336233,1502065,Blues,2000,72,89,0.48,22,0.6,0.61,0.79
Track 33394,Neon Vortex,18912120,3002461,K-Pop,2016,25,53,-0.71,35,0.9,0.43,0.52
Track 35445,Jay Zenith,89746414,2118920,Lo-Fi,2020,21,68,-0.19,30,0.24,0.17,0.12
Track 69369,Sofia Carter,675474187,327107,Trap,1994,43,33,0.02,58,0.66,0.27,0.87
Track 75452,ElectroPulse,4187630,3204388,Rock,2014,96,84,-0.05,15,0.97,0.11,0.8
Track 80046,Crimson Echo,292470154,4815084,Reggae,1999,45,93,0.51,60,0.66,0.27,0.53
Track 65217,Samantha Lee,146255009,4508925,Trap,2005,87,6,-0.92,15,0.24,0.48,0.31
Track 17530,Celestial Harmony,260222938,157281,Hip-Hop,2020,18,58,-0.74,13,0.47,0.51,0.19
Track 30974,Crimson Echo,246675215,4603714,K-Pop,1992,79,3,-0.6,20,0.85,0.82,0.71
Track 7818,Jay Zenith,30469750,3027709,Blues,1991,77,60,-0.16,71,0.47,0.3,0.74
Track 7664,Shadow Beats,391532319,804390,Hip-Hop,2018,32,39,-0.64,94,0.86,0.7,0.84
Track 1867,ElectroPulse,42089684,2699783,Electronic,2013,23,90,0.75,20,0.11,0.79,0.26
Track 84497,EchoSync,218264815,3417831,Rock,2008,45,92,-0.4,33,0.85,0.79,0.9
Track 72599,Sofia Carter,183290917,17992,Rock,2017,22,62,0.1,74,0.84,0.26,0.93
Track 75673,Aurora Soundwave,670564919,4270054,EDM,1992,46,33,0.27,88,0.31,0.42,0.25
Track 50346,Jay Zenith,73917777,4075538,Electronic,1997,16,62,0.68,54,0.65,0.8,0.14
Track 79858,Jay Zenith,183943760,1138188,House,2010,24,4,0.0,73,0.93,0.4,0.72
Track 71001,Liam Harper,352663936,353925,Hip-Hop,2014,86,60,-0.65,92,0.61,0.93,0.47
Track 22388,Retro Resonance,294639359,3229605,Jazz,1993,30,14,-0.41,67,0.88,0.52,0.42
Track 26481,Neon Vortex,496353687,4620179,Latin,2012,82,78,0.14,70,0.4,0.65,0.53
Track 64348,Liam Harper,578784921,165711,Folk,1999,6,56,0.75,85,0.91,0.89,0.65
Track 46317,Bass Surge,646201910,228155,Synthwave,2011,45,47,0.83,6,0.99,0.23,0.61
Track 80290,Horizon Flow,342494797,873378,House,1995,92,89,-0.72,35,0.75,0.23,0.71
Track 22517,Firefly Symphony,100571812,2945834,Hip-Hop,2011,27,39,0.51,62,0.68,0.26,0.4
Track 27841,ElectroPulse,110893877,2677837,Hip-Hop,2011,49,17,-0.45,93,0.77,0.96,0.12
Track 21564,Retro Resonance,520466762,4961842,Jazz,2014,75,97,0.27,0,0.42,0.32,0.37
Track 28807,Luna Nova,94841389,4620073,Hip-Hop,2000,66,79,-0.82,85,0.9,0.8,0.96
Track 27129,Neon Vortex,491125343,285412,Hip-Hop,2004,12,75,-0.39,3,0.32,0.49,0.11
Track 68636,DJ Thunder,395816747,3074332,Trap,2021,27,34,-0.98,67,0.72,0.85,0.92
Track 30049,Retro Resonance,545741369,2159360,Metal,1992,8,57,0.13,26,0.16,0.88,0.62
Track 51815,Sofia Carter,614829271,1652793,Punk,2009,94,52,0.53,32,0.58,0.44,0.65
Track 5937,The Midnight Howl,794416230,428727,Latin,2025,31,47,-0.39,26,0.58,0.79,0.16
Track 71234,Firefly Symphony,711681919,2042855,R&B,2024,31,21,0.08,52,0.25,0.37,0.36
Track 52586,Horizon Flow,606430230,2481173,Lo-Fi,2012,30,97,-0.62,12,0.49,0.93,0.2
Track 65106,The Midnight Howl,591586177,3332835,Synthwave,1990,34,50,-0.22,75,0.92,0.85,0.91
Track 15026,Neon Vortex,502762367,2953639,Reggae,2004,72,32,0.65,87,0.63,0.44,0.41
Track 91594,Neon Vortex,478859397,3762830,Reggae,2003,50,3,-0.14,31,0.73,0.77,0.81
Track 96895,Crimson Echo,762166170,942183,Blues,2013,1,86,0.3,43,0.36,0.58,0.11
Track 9390,Luna Nova,697200642,1064020,EDM,1995,81,3,0.24,41,0.39,0.96,0.29
Track 46288,Luna Nova,50598291,4001706,Metal,2015,37,12,0.67,18,0.66,0.02,0.47
Track 40590,Jay Zenith,183611053,811042,Country,1994,26,2,0.73,46,0.92,0.69,0.62
Track 44113,Sofia Carter,488405164,4950570,Rock,2009,10,24,0.26,83,0.97,0.66,0.89
Track 12008,Bass Surge,88961451,4341089,Trap,2004,10,16,0.65,57,0.59,0.64,0.7
Track 2841,Bass Surge,764083981,3358015,Blues,2005,64,80,0.0,78,0.13,0.93,0.17
Track 72907,Retro Resonance,543385478,3647885,Trap,2009,95,97,0.32,60,0.79,0.13,0.75
Track 30815,Liam Harper,366490224,3043095,R&B,2018,64,20,0.26,30,0.71,0.68,0.82
Track 58353,Bass Surge,101863555,2809063,Trap,1998,92,29,0.37,54,0.53,0.57,0.13
Track 48899,Samantha Lee,792064097,3805585,Synthwave,2023,95,47,-0.51,13,0.59,0.96,0.46
Track 93296,Firefly Symphony,359349708,1596930,Hip-Hop,2019,85,44,-0.48,49,0.92,0.21,0.93
Track 91541,Firefly Symphony,148328531,1764173,Lo-Fi,2014,19,48,0.23,44,0.32,0.32,0.28
Track 92013,Horizon Flow,199742739,3594277,Hip-Hop,2003,8,37,-0.14,2,0.14,0.27,0.13
Track 8776,Shadow Beats,77927420,3622969,Techno,2001,40,23,-0.96,25,1.0,0.05,0.43
Track 43655,EchoSync,223008821,3549497,Reggae,2021,68,44,0.99,44,0.26,0.76,0.32
Track 11657,Celestial Harmony,195487664,1165871,Lo-Fi,2002,71,50,-0.06,78,0.95,0.68,0.95
Track 53022,ElectroPulse,483926192,1610707,Reggae,2016,7,22,0.07,89,0.68,0.23,0.11
Track 54844,Samantha Lee,336792437,1145262,Metal,2017,5,41,-0.29,3,0.25,0.24,0.23
Track 16452,DJ Thunder,327802626,3645262,Metal,1993,20,21,0.01,78,0.9,0.1,0.79
Track 5640,The Midnight Howl,691406505,3446879,EDM,2002,53,93,-0.81,94,0.82,0.02,0.89
Track 67041,EchoSync,766879754,4279671,EDM,1990,47,86,-0.92,21,0.5,0.27,0.89
Track 64108,DJ Thunder,540749978,247862,Techno,2020,43,93,0.95,96,0.61,0.27,0.52
Track 98088,Ava & The Ocean,207140064,3632435,Jazz,2009,32,42,-0.67,36,0.18,0.81,0.88
Track 72914,DJ Thunder,709386413,1793731,Reggae,2001,39,44,0.17,90,0.18,0.1,0.82
Track 65514,Aurora Soundwave,325567089,3285459,K-Pop,2015,33,41,0.57,62,0.8,0.54,0.15
Track 45045,Aurora Soundwave,353151921,4610878,Synthwave,1995,2,34,-0.46,99,0.47,0.16,0.21
Track 39814,Firefly Symphony,94769853,532745,House,2025,25,35,-0.22,43,0.74,0.58,0.73
Track 55858,Firefly Symphony,456953779,2298860,K-Pop,1992,37,97,0.11,72,0.2,0.46,0.8
Track 58934,Urban Rhapsody,607085079,2850613,Lo-Fi,2007,48,92,0.47,5,0.93,0.86,0.85
Track 67858,ElectroPulse,33697230,3312083,EDM,2001,18,61,0.64,83,0.4,0.05,0.31
Track 82707,Urban Rhapsody,585005490,3356879,Drum & Bass,2007,92,3,-0.97,3,0.68,0.76,0.17
Track 44564,Crimson Echo,481415177,4046542,Reggae,2023,5,54,-0.56,79,0.69,0.37,0.41
Track 91344,Retro Resonance,95812987,1226890,Metal,2023,21,21,-0.98,51,0.49,0.8,0.78
Track 85126,DJ Thunder,754129515,255310,Latin,1999,14,57,-0.1,74,0.11,0.79,0.81
Track 91219,Neon Vortex,542143736,4830223,Drum & Bass,2023,39,74,-0.21,16,0.38,0.17,0.64
Track 9910,Urban Rhapsody,726192943,481434,Rock,2015,43,88,0.46,55,0.77,0.48,0.4
Track 93000,Urban Rhapsody,47260173,677869,Blues,2017,32,86,0.38,26,0.93,0.27,0.75
Track 59032,Shadow Beats,106247549,1254796,EDM,2004,58,51,0.95,6,0.33,0.25,0.78
Track 13717,Liam Harper,155176297,35890,Indie,2001,66,32,0.37,52,0.23,0.53,0.54
Track 85297,Retro Resonance,124135437,752642,Jazz,2015,50,29,-0.39,23,0.37,0.94,0.27
Track 74998,DJ Thunder,231495171,824579,Lo-Fi,1991,47,25,-0.38,4,0.11,0.33,0.54
Track 52263,Samantha Lee,221941390,3077217,EDM,2013,36,99,-0.14,100,0.18,0.56,0.68
Track 10958,Ava & The Ocean,129004685,1313520,Blues,1995,81,36,0.01,40,0.82,0.5,0.35
Track 39853,Samantha Lee,689769586,4977205,Indie,2002,56,92,0.31,100,0.55,0.01,0.33
Track 79214,Aurora Soundwave,488731131,2587802,Trap,2006,83,81,0.22,8,0.24,0.28,0.72
Track 21083,ElectroPulse,345726868,3117574,Country,2007,43,37,0.92,32,0.13,0.54,0.26
Track 59629,Sofia Carter,224659229,2951878,Synthwave,2017,44,28,-0.47,69,0.72,0.11,0.92
Track 83349,EchoSync,245357191,2217911,R&B,1996,90,43,-0.57,83,0.38,0.12,0.38
Track 21665,Jay Zenith,175681345,4658244,Folk,2009,39,80,-0.18,42,0.74,0.96,0.81
Track 99965,Urban Rhapsody,248645915,3562596,Pop,2015,95,2,-0.55,86,0.84,0.43,0.21
Track 32093,Bass Surge,735718522,1661761,Pop,1992,44,38,-0.44,45,0.49,0.97,0.22
Track 4608,Ava & The Ocean,192776559,1851989,Drum & Bass,2024,50,42,0.65,100,0.59,0.59,0.34
Track 29988,Crimson Echo,5683079,4983760,Indie,2014,68,36,0.79,3,0.23,0.31,0.98
Track 91997,EchoSync,484508851,151210,Reggae,2015,80,101,0.65,77,0.12,0.9,0.47
Track 34332,Celestial Harmony,590360939,4259254,Punk,2019,93,75,0.1,32,0.79,0.56,0.81
Track 65965,DJ Thunder,281396433,2185615,EDM,1994,40,31,0.12,21,0.76,0.9,0.32
Track 4890,Celestial Harmony,246480105,4944002,Rock,1998,76,23,-0.45,41,0.55,0.01,0.58
Track 99847,Jay Zenith,317526659,3637179,Latin,2018,19,32,-0.25,5,0.2,0.73,0.11
Track 57116,Celestial Harmony,450080630,4108714,Punk,2020,39,1,-0.22,88,0.43,0.69,0.52
Track 1943,Shadow Beats,293016626,4882110,R&B,2003,9,46,0.73,70,0.17,0.16,0.35
Track 45980,Horizon Flow,225666003,292194,Pop,1995,29,61,-0.32,84,0.51,0.53,0.79
Track 8775,Sofia Carter,701725157,4219609,R&B,1994,83,101,-0.46,34,0.77,0.16,0.96
Track 67884,Luna Nova,383431434,1794425,Synthwave,2008,97,12,-0.63,40,0.18,0.47,0.48
Track 65463,Sofia Carter,312620416,4278571,Hip-Hop,2020,75,19,0.63,32,0.76,0.38,0.67
Track 20078,Shadow Beats,287677702,4700544,Pop,2002,49,71,-0.49,94,0.53,0.11,0.44
Track 63117,Celestial Harmony,179440293,1399748,Lo-Fi,2006,41,8,-0.75,94,0.27,0.07,0.78
Track 92131,Aurora Soundwave,109906800,4925319,Synthwave,2016,86,77,-0.16,91,0.96,0.6,0.98
Track 17838,EchoSync,184195988,2165066,Rock,1992,19,94,0.92,64,0.57,0.05,0.21
Track 89956,Shadow Beats,247946728,745907,Blues,2018,15,100,0.27,4,0.56,0.99,0.52
Track 94336,ElectroPulse,594110179,3119300,R&B,2004,26,8,0.68,57,0.85,0.41,0.1
Track 69503,Neon Vortex,479874083,121550,Hip-Hop,2002,43,52,-0.26,74,0.76,0.02,0.84
Track 83454,DJ Thunder,734593905,363763,Rock,2025,57,103,-0.84,59,0.29,0.71,0.86
Track 44759,Sofia Carter,245468230,44161,Indie,1993,66,93,-0.57,51,0.7,0.24,0.15
Track 17400,Firefly Symphony,114733412,1999356,House,2003,93,12,-0.28,56,0.32,0.85,0.41
Track 89481,Aurora Soundwave,358111447,4936825,K-Pop,1994,7,23,0.84,55,0.95,0.15,0.22
Track 41493,Liam Harper,287388001,1034482,Electronic,2012,8,80,0.9,26,0.74,0.63,0.7
Track 43448,Jay Zenith,463568143,3843732,Trap,2007,95,58,0.99,50,0.64,0.1,0.56
Track 55338,Jay Zenith,114477354,3047052,Jazz,2015,52,13,-0.85,38,0.84,0.69,0.53
Track 78482,EchoSync,338820494,4126824,Techno,2001,91,12,0.13,51,0.82,0.41,0.8
Track 37458,Crimson Echo,665526445,1976941,Folk,1995,44,68,-0.92,68,0.51,0.45,0.32
Track 36546,Jay Zenith,252613865,741838,Drum & Bass,2004,73,4,-0.56,2,0.42,0.39,0.38
Track 51026,Sofia Carter,243072973,3388054,Electronic,2024,93,38,0.11,29,0.13,0.18,0.22
Track 1502,Shadow Beats,754148003,4919168,Metal,2011,31,45,0.84,94,0.88,0.49,0.59
Track 12035,Bass Surge,719839366,3645365,Jazz,2004,22,29,-0.26,57,0.87,0.06,0.16
Track 12781,Celestial Harmony,138829092,3357626,Metal,2007,89,63,-0.16,1,0.88,0.14,0.76
Track 98972,DJ Thunder,431657029,686428,K-Pop,2016,97,45,0.43,58,0.57,0.04,0.59
Track 46417,Shadow Beats,321073248,4148496,Trap,2021,70,50,-0.34,97,0.52,0.62,0.78
Track 20110,Sofia Carter,709859533,3810215,Blues,2021,27,13,0.6,58,0.6,0.55,0.82
Track 82588,Neon Vortex,441801894,2893308,Drum & Bass,1998,45,1,0.84,6,0.29,0.5,0.32
Track 68807,Jay Zenith,204278241,4045058,Hip-Hop,2021,89,43,-0.84,39,0.6,0.73,0.15
Track 45416,Sofia Carter,685146566,4150065,EDM,2012,67,12,-0.2,83,0.66,0.77,0.61
Track 55015,Luna Nova,20184270,1680157,House,1993,4,40,-0.64,97,0.92,0.84,0.4
Track 87361,Retro Resonance,266081949,348779,EDM,2011,37,50,0.66,87,0.87,0.32,0.47
Track 73521,DJ Thunder,496012983,4753793,K-Pop,2009,59,24,0.46,46,0.3,0.94,0.59
Track 2584,DJ Thunder,242671117,1618896,Techno,2016,70,19,-0.73,32,0.94,0.92,0.56
Track 66236,Sofia Carter,387889382,1271510,Rock,2012,85,16,0.64,1,0.67,0.61,0.84
Track 80429,Shadow Beats,670276978,4276036,Reggae,1992,66,66,-0.03,7,0.28,0.13,0.59
Track 41539,Urban Rhapsody,771528121,3400860,Blues,2005,69,3,-0.52,87,0.23,0.16,0.4
Track 15097,Firefly Symphony,538904424,4866388,Synthwave,2004,68,24,-0.56,66,0.85,0.44,0.26
Track 15550,The Midnight Howl,304531393,4112147,Latin,1992,95,3,-0.7,5,0.84,0.13,0.73
Track 89332,ElectroPulse,672232399,410973,K-Pop,2004,26,76,0.18,17,0.47,0.28,0.88
Track 57324,Shadow Beats,785718109,1535903,K-Pop,2020,81,72,0.89,35,0.56,0.52,0.45
Track 19814,Crimson Echo,696082680,796542,Hip-Hop,2000,12,78,-0.53,29,0.89,0.69,0.49
Track 59378,Shadow Beats,762118849,60908,Trap,2017,3,78,-0.39,27,0.69,0.67,0.13
Track 33042,Aurora Soundwave,479891430,1888905,Trap,1993,47,18,0.71,79,0.65,0.27,0.4
Track 7005,Aurora Soundwave,138077795,4706145,Techno,2025,65,59,-0.13,42,0.73,0.09,0.28
Track 87233,The Midnight Howl,501166112,4179952,Metal,2018,76,31,0.92,61,0.73,0.2,0.36
Track 60689,Jay Zenith,558243626,4638820,Punk,1993,71,80,-0.06,44,0.25,0.75,0.24
Track 93321,Celestial Harmony,427309297,2822313,Reggae,2006,25,55,-0.48,53,0.72,0.27,0.74
Track 95576,The Midnight Howl,561535774,4185691,Metal,2017,52,53,0.22,92,0.15,0.94,0.93
Track 17281,Horizon Flow,379042664,3394620,Indie,2012,23,22,0.02,40,0.12,0.95,0.32
Track 98052,Neon Vortex,21650542,3843019,Techno,2001,78,85,-0.78,13,0.82,0.96,0.33
Track 49365,Neon Vortex,486316232,3097363,House,2025,20,25,-0.11,45,0.86,1.0,0.37
Track 7287,The Midnight Howl,681372250,4134113,Metal,2012,60,18,-0.69,99,0.96,0.96,0.15
Track 20036,Luna Nova,665937922,761481,House,2021,7,10,0.87,68,0.63,0.05,1.0
Track 42856,Retro Resonance,627182270,2687850,K-Pop,2005,49,84,0.86,100,0.7,0.56,0.82
Track 93844,EchoSync,86608452,1659560,Punk,2020,58,15,-0.43,63,0.99,0.72,0.12
Track 82548,Samantha Lee,433211320,2061226,Reggae,2004,4,100,-0.38,35,0.61,0.16,0.19
Track 32114,Liam Harper,699215777,4737767,Drum & Bass,2011,64,57,0.96,9,0.29,0.3,0.9
Track 90827,Liam Harper,394931300,1485889,Trap,2023,53,25,-0.31,60,0.45,0.35,0.61
Track 50529,Retro Resonance,118159661,124315,Latin,2002,62,51,0.08,28,0.61,0.44,0.72
Track 84941,EchoSync,30266865,2205102,Blues,2022,93,58,-0.23,82,0.68,0.11,0.15
Track 97686,Liam Harper,106173953,4371825,Electronic,1993,56,5,0.59,17,0.91,0.45,1.0
Track 92003,DJ Thunder,277359258,1200868,Latin,2004,53,52,0.21,65,0.4,0.7,0.59
Track 32434,The Midnight Howl,192192007,3532491,Reggae,1996,75,54,0.6,53,0.93,0.01,0.14
Track 34836,Bass Surge,713942722,2316225,Electronic,2020,45,81,-0.04,22,0.61,0.57,0.14
Track 73450,Horizon Flow,480020781,3985948,EDM,2019,34,96,-0.22,26,0.64,0.05,0.62
Track 55405,The Midnight Howl,498578709,4196710,Rock,1994,63,54,0.05,31,0.2,0.81,0.17
Track 38033,Urban Rhapsody,500789936,1581074,K-Pop,2016,20,43,-0.55,91,0.41,0.0,0.83
Track 34413,Sofia Carter,588986766,4016521,Folk,2022,51,100,-0.85,11,0.28,0.87,0.37
Track 89633,Luna Nova,669731084,4049705,Hip-Hop,2002,74,62,0.84,65,0.5,0.45,0.93
Track 75953,Sofia Carter,193258532,3683688,Reggae,2008,40,46,0.89,29,0.53,0.44,0.38
Track 24828,Sofia Carter,607807059,1801840,Reggae,2002,74,13,-0.15,5,0.91,0.45,0.47
Track 88940,DJ Thunder,2196150,2796775,Techno,2024,94,50,0.5,95,0.11,0.06,0.59
Track 19165,Crimson Echo,478713177,3500272,Blues,1993,27,33,-0.59,80,0.51,0.61,0.99
Track 71851,Bass Surge,117597235,2828540,Techno,2008,66,87,0.94,82,0.73,0.19,0.85
Track 74751,Firefly Symphony,15518162,1715947,Latin,2001,75,97,0.07,58,0.36,0.97,0.15
Track 65303,EchoSync,25702019,742128,Techno,2024,47,25,-0.58,22,0.5,0.07,0.85
Track 87948,Liam Harper,3302926,3140204,Trap,2010,96,67,-0.22,74,0.79,0.32,0.65
Track 68013,Liam Harper,477289653,2441759,House,1996,1,43,0.34,5,0.95,0.43,0.89
Track 34487,Shadow Beats,375888641,796024,K-Pop,2023,28,5,0.45,87,0.66,0.27,0.84
Track 76429,Neon Vortex,335319302,343062,Drum & Bass,2001,9,53,-0.14,61,0.14,0.3,0.86
Track 79251,EchoSync,395922881,3972026,Metal,2007,19,75,-0.72,72,0.17,0.12,0.34
Track 6644,Aurora Soundwave,104664612,2734070,K-Pop,2025,92,53,0.91,63,0.95,0.71,0.47
Track 37104,ElectroPulse,568574003,3152819,Reggae,2002,43,52,0.9,90,0.8,0.32,0.28
Track 96873,Horizon Flow,419527648,251142,EDM,1997,23,36,0.6,67,0.32,0.37,0.84
Track 45285,Celestial Harmony,48413688,2260755,R&B,1996,53,15,-1.0,84,0.85,0.85,0.23
Track 92140,Neon Vortex,65756831,3951854,Blues,1998,74,28,-0.37,89,0.47,0.15,0.83
Track 36429,Shadow Beats,126066494,1494923,K-Pop,2011,41,5,-0.8,75,0.48,0.8,0.86
Track 18355,Shadow Beats,659298437,461056,Electronic,1998,35,51,-0.36,99,0.89,0.3,0.1
Track 8408,Jay Zenith,579664838,625617,Rock,2012,32,81,-0.73,52,0.12,0.93,0.96
Track 45979,Jay Zenith,706362567,3814607,Blues,1992,6,2,0.15,12,0.35,0.68,0.11
Track 35840,Jay Zenith,174502000,2863381,Latin,2008,93,101,-0.5,93,0.93,0.71,0.89
Track 42345,Urban Rhapsody,690913122,561766,Reggae,1991,6,26,0.16,26,0.37,0.11,0.21
Track 10901,Ava & The Ocean,315742758,3348764,Hip-Hop,2013,47,48,-0.45,15,0.81,0.83,0.48
Track 99117,DJ Thunder,777424703,3656853,Metal,2022,68,40,-0.08,74,0.94,0.42,1.0
Track 66495,Sofia Carter,758489230,1678816,Trap,2014,10,29,-0.05,3,0.46,0.97,0.57
Track 75235,Jay Zenith,358349661,4234925,Country,1993,33,98,0.18,49,0.94,0.26,0.63
Track 92795,Liam Harper,438192281,1407112,Metal,2008,35,29,0.98,82,0.49,0.87,0.35
Track 89290,EchoSync,298726052,609340,Reggae,1996,63,76,-0.1,24,0.3,0.02,0.96
Track 27539,DJ Thunder,338253986,2927386,Country,2013,89,17,-0.47,57,0.34,0.03,0.3
Track 79922,Luna Nova,85633825,2487411,Indie,2009,81,78,0.41,5,0.67,0.04,0.36
Track 10807,Retro Resonance,336527528,1251363,Latin,1990,74,97,-0.51,95,0.3,0.14,0.24
Track 75526,Bass Surge,788770287,2981201,Pop,2006,1,27,-0.77,61,0.2,0.17,0.51
Track 85291,Luna Nova,711677597,1665936,Techno,2019,51,64,0.98,54,0.72,0.02,0.24
Track 1147,EchoSync,171605011,2871828,Drum & Bass,2022,29,95,-0.9,43,0.53,0.46,0.48
Track 54659,Crimson Echo,181173011,1497567,Techno,2023,65,86,0.7,58,0.81,0.33,0.76
Track 22112,ElectroPulse,388712856,1450981,Trap,1990,79,54,0.46,41,0.62,0.49,0.77
Track 86987,Celestial Harmony,502188055,3033760,K-Pop,1996,37,32,-0.37,25,0.41,0.12,0.88
Track 46290,DJ Thunder,173328247,464568,Blues,2022,73,46,0.99,57,0.53,0.69,0.97
Track 48081,EchoSync,268514375,498058,Rock,2007,8,81,0.46,62,0.51,0.39,0.41
Track 72070,Neon Vortex,508092127,48863,Rock,1992,84,37,-0.09,57,0.44,0.48,0.87
Track 98226,Bass Surge,196982441,3835626,Metal,1995,16,19,0.67,71,0.43,0.33,0.43
Track 23445,Retro Resonance,234329833,2775115,Reggae,2004,30,98,-0.46,29,0.39,0.78,0.81
Track 47969,Shadow Beats,599337942,1855791,R&B,2000,11,8,-0.05,78,0.95,0.03,0.3
Track 89100,Horizon Flow,158260218,2949275,Trap,2023,60,53,0.99,56,0.28,0.75,0.47
